config_hash,model_name,quantization,batch_size,sequence_length,sci_per_token,val_bpb,energy_per_token_j,tokens_per_sec,gpu_power_avg_w,gpu_util_avg_pct,gpu_clock_avg_mhz,mem_used_gb,mem_pressure_pct,latency_p50_ms,carbon_operational_g,carbon_embodied_g,nvme_temp_c,system_load_avg,pareto_rank,status,created_at
c9a1026cb46a,Qwen/Qwen3.5-0.8B,none,1,2048,0.00044824846071909666,4.065588352168114,3.7642361464718697,4.042294511244834,15.590588235294119,47.3235294117647,2016.1470588235295,30.75,25.7,135.98557768538862,0.00041824846071909663,3e-05,47.85,3.83,2,completed,2026-03-28T22:11:20.927771+00:00
f0b71bf25f69,Qwen/Qwen3.5-0.8B,none,8,2048,4.173081591050735e-05,4.065588352168114,0.10557734319456619,180.5110899774413,19.693529411764708,54.588235294117645,2398.0,40.54,33.9,3.269414138184601,1.1730815910507354e-05,3e-05,48.85,4.32,0,completed,2026-03-28T22:11:56.684898+00:00
e0ff2d36bc2f,Qwen/Qwen3.5-4B,none,16,128,,,,,,,,,,,,,,,,failed,2026-03-28T22:13:04.234941+00:00
d955c1983e6d,Qwen/Qwen3.5-4B,none,2,512,,,,,,,,,,,,,,,,failed,2026-03-28T22:14:16.705850+00:00
ae04f3306d63,Qwen/Qwen3.5-4B,none,1,1024,0.0007007839016789891,1.5656525444110059,6.037055115110903,3.6488310954783,23.063636363636363,84.68181818181819,2398.0,38.54,32.2,217.05866889286492,0.0006707839016789892,3e-05,48.85,6.64,1,completed,2026-03-28T22:14:39.533639+00:00
b64d8451b881,Qwen/Qwen3.5-4B,none,1,128,0.00044186312097213766,1.5656525444110059,3.7067680887492385,6.567049895098198,25.347619047619045,78.76190476190476,2398.0,37.21,31.1,135.62715647190652,0.00041186312097213763,3e-05,48.85,6.4,0,completed,2026-03-28T22:15:01.352718+00:00
1b5cf4dd00a3,Qwen/Qwen3.5-9B,none,8,256,,,,,,,,,,,,,,,,failed,2026-03-28T22:17:33.110481+00:00
6efbed889e02,Qwen/Qwen3.5-4B,none,32,128,,,,,,,,,,,,,,,,failed,2026-03-28T22:18:48.138042+00:00
a1f4cc645088,Qwen/Qwen3.5-0.8B,none,16,1024,9.585044381548038e-05,4.065588352168114,0.5926539943393234,38.49530790264328,23.584411764705884,68.47058823529412,2398.0,35.37,29.6,15.53040196556455,6.585044381548038e-05,3e-05,50.85,6.26,1,completed,2026-03-28T22:19:23.935777+00:00
d58efef23a66,Qwen/Qwen3.5-9B,none,8,1024,,,,,,,,,,,,,,,,failed,2026-03-28T22:21:50.186210+00:00
