config_hash,model_name,quantization,batch_size,sequence_length,sci_per_token,val_bpb,energy_per_token_j,tokens_per_sec,gpu_power_avg_w,gpu_util_avg_pct,gpu_clock_avg_mhz,mem_used_gb,mem_pressure_pct,latency_p50_ms,carbon_operational_g,carbon_embodied_g,nvme_temp_c,system_load_avg,pareto_rank,status,created_at
130547289f11,Qwen/Qwen3.5-9B,none,32,512,,,,,,,,,,,,,,,,failed,2026-03-28T22:13:01.067512+00:00
a3c0e2afb7cf,Qwen/Qwen3.5-0.8B,none,8,512,8.335714004431846e-05,4.065588352168114,0.48021426039886606,43.41340676874088,21.596060606060604,50.666666666666664,2396.909090909091,66.73,55.8,12.69235915233935,5.335714004431846e-05,3e-05,48.85,6.27,3,completed,2026-03-28T22:13:35.796279+00:00
d894a991af88,Qwen/Qwen3.5-4B,none,1,256,,,,,,,,,,,,,,,,failed,2026-03-28T22:14:50.264603+00:00
1ff736be083f,Qwen/Qwen3.5-4B,none,2,512,,,,,,,,,,,,,,,,failed,2026-03-28T22:16:01.608927+00:00
e6f03c58a1d5,Qwen/Qwen3.5-9B,none,32,2048,,,,,,,,,,,,,,,,failed,2026-03-28T22:18:43.719863+00:00
14129138e9ef,Qwen/Qwen3.5-0.8B,none,8,128,5.4154232103557806e-05,4.065588352168114,0.21738808893202027,95.91268911018507,21.60242424242424,58.06060606060606,2398.0,45.61,38.1,4.39915116210976,2.4154232103557805e-05,3e-05,50.85,5.76,2,completed,2026-03-28T22:19:18.649563+00:00
1c82a98dd998,Qwen/Qwen3.5-0.8B,none,1,2048,9.914613636137594e-05,4.065588352168114,0.6223152272523835,34.755885610252406,22.354827586206895,67.0,2398.0,46.84,39.2,19.20069472656394,6.914613636137594e-05,3e-05,50.85,6.0,,discarded,2026-03-28T22:19:49.639375+00:00
52dd1ed3ea1b,Qwen/Qwen3.5-9B,none,2,128,,,,,,,,,,,,,,,,failed,2026-03-28T22:22:09.795127+00:00
2519f8d7088b,Qwen/Qwen3.5-9B,none,2,2048,,,,,,,,,,,,,,,,failed,2026-03-28T22:24:09.638288+00:00
f836ec501e21,Qwen/Qwen3.5-0.8B,none,8,1024,4.0551242946817434e-05,4.065588352168114,0.09496118652135686,196.165070351123,19.34967741935484,56.225806451612904,2400.483870967742,35.86,30.0,3.2059423291576055,1.055124294681743e-05,3e-05,46.85,3.2,1,completed,2026-03-28T22:24:42.549191+00:00
9615bce6f4a6,Qwen/Qwen3.5-9B,none,4,512,,,,,,,,,,,,,,,,failed,2026-03-28T22:26:43.937493+00:00
f9dd05637bcf,Qwen/Qwen3.5-0.8B,none,8,256,4.0150477110941724e-05,4.065588352168114,0.09135429399847551,202.80113344501916,19.181612903225805,55.935483870967744,2401.3870967741937,27.27,22.8,3.104857217286039,1.0150477110941723e-05,3e-05,45.85,3.05,0,completed,2026-03-28T22:27:16.477075+00:00
7e50a86c4fdc,Qwen/Qwen3.5-9B,none,4,128,,,,,,,,,,,,,,,,failed,2026-03-28T22:29:20.931201+00:00
2340bc718918,Qwen/Qwen3.5-4B,none,1,512,,1.5656525444110059,,0.0,13.367758620689656,8.879310344827585,2404.7586206896553,26.89,22.5,,,,45.85,2.76,,completed,2026-03-28T22:30:21.730741+00:00
933fe5291cdb,Qwen/Qwen3.5-4B,none,8,256,,,,0.0,12.65508474576271,6.101694915254237,2404.8813559322034,44.48,37.2,,,,44.85,2.94,,completed,2026-03-28T22:31:23.101042+00:00
0ac466b9f906,Qwen/Qwen3.5-9B,none,16,2048,,,,,,,,,,,,,,,,failed,2026-03-28T22:33:36.366159+00:00
3ada9afc1ecd,Qwen/Qwen3.5-4B,none,8,1024,,,,,,,,,,,,,,,,failed,2026-03-28T22:34:47.284937+00:00
