timestamp,gpu_temp_c,gpu_power_w,gpu_power_instant_w,gpu_util_pct,gpu_mem_util_pct,gpu_clock_mhz,gpu_vid_clock_mhz,gpu_sm_clock_mhz,gpu_max_clock_mhz,gpu_tlimit_c,gpu_pstate,gpu_throttle_reasons,gpu_hw_thermal_throttle,gpu_hw_slowdown,gpu_sw_power_cap,gpu_idle,gpu_power_brake,pcie_gen,pcie_width,thermal_zone0_c,thermal_zone1_c,thermal_zone2_c,thermal_zone3_c,thermal_zone4_c,thermal_zone5_c,thermal_zone6_c,fan_state,fan_power_uw,nvme_temp_c,nvme_temp2_c,nvme_temp_alarm,nic0_temp_c,nic1_temp_c,nic2_temp_c,nic3_temp_c,wifi_temp_c,cpu_big_avg_mhz,cpu_little_avg_mhz,cpu_user,cpu_system,cpu_idle,cpu_iowait,context_switches,procs_running,procs_blocked,cpu_throttle_max,mem_used_kb,mem_available_kb,mem_cached_kb,mem_dirty_kb,mem_anon_kb,mem_file_hugepages_kb,swap_used_kb,net_rx_bytes,net_tx_bytes,load_avg_1m,psi_cpu_avg10,psi_mem_some_avg10,psi_mem_full_avg10,psi_io_some_avg10,nvme_read_ios,nvme_write_ios,nvme_read_sectors,nvme_write_sectors,nvme_io_in_progress,pgmajfault,pgfault
2026-03-28T18:00:07-07:00,37,4.30,4.37,0,0,208,598,208,3003,58,P8,0x0000000000000000,0,0,0,0,0,1,1,44.5,40.6,42.4,39.8,44.5,38.8,40.8,2,5000,36.8,36.8,0,41.0,41.0,41.0,41.0,40.0,3900,2808,4360399,2057799,55007107,197812,309337899,3,0,0,4433736,121009132,1341776,7820,416292,0,271356,53488920229,1580084102,0.16,0.00,0.00,0.00,0.36,10681222,3979670,1211868104,478126730,0,4408030,4523533697
2026-03-28T18:00:09-07:00,38,4.49,5.27,0,0,208,598,208,3003,58,P8,0x0000000000000000,0,0,0,0,0,1,1,50.9,44.5,49.9,42.5,50.9,39.0,42.5,2,5000,36.8,36.8,0,41.0,41.0,41.0,41.0,40.0,3900,2808,4361374,2057977,55008401,197820,309344953,5,0,0,7496492,117946376,1335364,1228,3476660,0,271356,53488945097,1580110716,0.16,0.00,0.00,0.00,0.47,10681239,3979686,1211868416,478127994,0,4408030,4524429177
2026-03-28T18:00:10-07:00,38,5.61,5.95,0,0,208,598,208,3003,58,P8,0x0000000000000000,0,0,0,0,0,1,1,53.6,47.1,52.2,44.3,53.6,39.5,45.9,2,5000,37.8,36.8,0,41.0,41.0,41.0,41.0,40.0,3900,2808,4362116,2058212,55009642,197952,309426883,5,0,0,8310092,117132776,1391132,1232,4120472,0,271356,53488964153,1580133469,0.16,1.63,0.00,0.00,0.75,10684003,3979686,1211986064,478127994,0,4408113,4524853222
2026-03-28T18:00:11-07:00,38,6.33,6.68,0,0,208,598,208,3003,56,P8,0x0000000000000000,0,0,0,0,0,1,1,59.7,50.1,57.2,48.7,60.0,39.8,49.5,2,5000,36.8,37.8,0,42.0,42.0,42.0,42.0,40.0,3900,2808,4364256,2058640,55009979,197966,309452926,21,0,0,13041716,112401152,1490956,1236,8884888,0,271348,53489145842,1580217458,2.15,1.63,0.00,0.00,0.75,10685468,3979686,1212182320,478127994,0,4408628,4526507335
2026-03-28T18:00:13-07:00,39,6.31,6.17,0,0,1079,780,1079,3003,56,P0,0x0000000000000000,0,0,0,0,0,1,1,62.4,53.5,59.6,51.7,62.0,40.5,51.2,2,5000,36.8,36.8,0,42.0,42.0,42.0,42.0,40.0,3900,2808,4366389,2058933,55010191,197975,309464335,13,0,0,16098804,109344064,1499152,1232,11712004,0,271344,53489438446,1580320998,2.15,3.32,0.00,0.00,1.16,10685698,3979689,1212215704,478128018,0,4408719,4527610692
2026-03-28T18:00:14-07:00,40,12.73,12.66,1,0,1079,780,1079,3003,55,P0,0x0000000000000000,0,0,0,0,0,1,1,55.4,48.6,52.9,48.5,55.4,41.7,49.0,2,5000,37.8,36.8,0,42.0,42.0,42.0,42.0,40.0,3900,2808,4367728,2059663,55012427,197990,309819561,8,0,0,20788244,104654624,2148532,1264,14384592,0,271320,53489883925,1580524476,2.15,2.90,0.00,0.00,0.95,10687380,3979704,1212624960,478128930,0,4409447,4528704128
2026-03-28T18:00:16-07:00,41,12.69,12.97,6,0,2411,2054,2411,3003,55,P0,0x0000000000000000,0,0,0,0,0,1,1,60.5,48.2,58.3,47.9,60.5,42.7,50.1,2,5000,37.8,37.8,0,43.0,43.0,43.0,43.0,40.0,3900,2808,4369607,2060525,55016543,197993,309846857,16,0,0,35122544,90320324,2928804,1280,15216288,0,271296,53489965966,1580605548,4.38,1.94,0.00,0.00,0.63,10690392,3979706,1213396032,478129098,0,4409449,4529919414
2026-03-28T18:00:20-07:00,41,12.79,13.36,7,0,2411,2054,2411,3003,54,P0,0x0000000000000000,0,0,0,0,0,1,1,64.3,53.8,61.1,53.1,64.4,42.7,52.0,2,5000,37.8,37.8,0,43.0,43.0,43.0,43.0,40.0,3900,2808,4372658,2060901,55016961,197995,309862413,21,0,0,48672836,76770032,3227652,1276,16656808,0,271272,53490001955,1580636127,4.38,2.32,0.00,0.00,0.52,10692552,3979707,1213948496,478129106,0,4409452,4531755733
2026-03-28T18:00:22-07:00,42,12.80,13.77,16,0,2411,2067,2411,3003,53,P0,0x0000000000000000,0,0,0,0,0,1,1,67.0,58.3,63.1,56.9,67.0,43.5,55.0,2,5000,37.8,37.8,0,43.0,43.0,43.0,43.0,40.0,3900,2808,4375460,2061097,55016968,197995,309872424,23,0,0,50152408,75290460,3457800,1280,18176828,0,271264,53490019672,1580658237,6.20,4.25,0.00,0.00,0.42,10694366,3979707,1214412880,478129106,0,4409453,4533508403
2026-03-28T18:00:23-07:00,42,12.81,12.65,14,0,2411,2067,2411,3003,53,P0,0x0000000000000000,0,0,0,0,0,1,1,67.5,59.3,63.9,58.1,67.5,43.7,55.8,2,5000,37.8,37.8,0,43.0,43.0,43.0,43.0,40.0,3900,2808,4378003,2061273,55016971,197995,309881728,24,0,0,51706376,73736492,3672844,1288,19648368,0,271256,53490037778,1580681749,6.20,4.25,0.00,0.00,0.42,10696010,3979707,1214833744,478129106,0,4409455,4535120443
2026-03-28T18:00:24-07:00,43,12.82,13.53,15,0,2411,2067,2411,3003,52,P0,0x0000000000000000,0,0,0,0,0,1,1,68.0,60.3,64.4,58.6,68.0,44.4,56.5,2,5000,37.8,38.8,0,43.0,43.0,43.0,43.0,40.0,3900,2808,4380749,2061451,55016972,197995,309891839,22,0,0,53540636,71902232,3946260,1284,21314640,0,271216,53490075251,1580698854,6.20,5.47,0.00,0.00,0.34,10698199,3979776,1215389440,478130218,0,4409460,4536999814
2026-03-28T18:00:26-07:00,43,12.91,12.78,17,0,2411,2067,2411,3003,52,P0,0x0000000000000000,0,0,0,0,0,1,1,68.9,60.6,65.0,59.3,68.9,44.7,57.1,2,5000,38.8,38.8,0,44.0,44.0,44.0,44.0,40.0,3900,2808,4383430,2061645,55016984,197997,309901838,24,0,0,55357360,70085508,4198196,260,22845640,0,271208,53490082742,1580721067,6.20,6.65,0.00,0.00,0.28,10700174,3979776,1215886544,478130218,0,4409467,4538692478
2026-03-28T18:00:27-07:00,43,12.95,13.30,18,0,2411,2067,2411,3003,51,P0,0x0000000000000000,0,0,0,0,0,1,1,69.6,61.2,65.5,59.7,69.6,45.1,57.6,2,5000,38.8,38.8,0,44.0,44.0,44.0,44.0,42.0,3900,2808,4385964,2061827,55016992,197998,309911017,24,0,0,57216636,68226232,4438860,260,24372540,0,271204,53490105667,1580744314,7.54,6.65,0.00,0.00,0.28,10702094,3979776,1216372480,478130218,0,4409473,4540361327
2026-03-28T18:00:29-07:00,44,12.95,13.23,13,0,2411,2067,2411,3003,51,P0,0x0000000000000000,0,0,0,0,0,1,1,70.1,61.6,65.9,60.4,70.1,45.6,58.2,2,5000,38.8,38.8,0,44.0,44.0,44.0,44.0,40.0,3900,2808,4388399,2062013,55016997,197998,309920062,23,0,0,59076404,66366464,4654036,260,25812996,0,271200,53490124305,1580760798,7.54,7.62,0.00,0.00,0.23,10703786,3979776,1216798248,478130218,0,4409481,4541950503
2026-03-28T18:00:30-07:00,44,13.00,12.97,13,0,2411,2067,2411,3003,51,P0,0x0000000000000000,0,0,0,0,0,1,1,69.7,61.6,66.5,60.7,69.6,45.7,58.5,2,5000,38.8,38.8,0,44.0,44.0,44.0,44.0,40.0,3900,2808,4390865,2062209,55017013,197998,309928925,25,0,0,61433288,64009580,4863944,264,27438740,0,271196,53490147131,1580784856,7.54,8.23,0.00,0.00,0.19,10705437,3979778,1217217872,478130250,0,4409490,4543644060
2026-03-28T18:00:31-07:00,44,13.01,13.38,17,0,2411,2067,2411,3003,51,P0,0x0000000000000000,0,0,0,0,0,1,1,70.8,62.4,66.7,61.1,70.8,46.1,58.8,2,5000,38.8,38.8,0,45.0,45.0,45.0,45.0,0.0,3900,2808,4393468,2062400,55017027,197999,309937539,26,0,0,63980832,61462036,5086420,264,29255812,0,271196,53490151062,1580807850,9.26,8.23,0.00,0.00,0.19,10707197,3979778,1217662120,478130250,0,4409496,4545461016
2026-03-28T18:00:33-07:00,44,13.14,12.66,18,0,2411,2067,2411,3003,50,P0,0x0000000000000000,0,0,0,0,0,1,1,71.5,63.0,67.4,61.6,71.6,46.6,59.5,2,5000,38.8,38.8,0,45.0,45.0,45.0,45.0,0.0,3900,2808,4395968,2062601,55017042,198000,309947242,25,0,0,65963396,59479472,5295596,264,30623508,0,271192,53490170502,1580827210,9.26,9.28,0.00,0.00,0.15,10708890,3979778,1218092632,478130250,0,4409500,4547112113
2026-03-28T18:00:34-07:00,45,13.16,13.52,15,0,2411,2067,2411,3003,50,P0,0x0000000000000000,0,0,0,0,0,1,1,72.1,62.7,67.4,61.8,72.1,46.7,59.5,2,5000,38.8,38.8,0,45.0,45.0,45.0,45.0,0.0,3900,2808,4398640,2062813,55017057,198001,309957978,23,0,0,68352668,57090200,5571068,56,32263056,0,271188,53490204723,1580846924,9.26,9.77,0.00,0.00,0.12,10711040,3979810,1218635896,478130666,0,4409501,4548872869
2026-03-28T18:00:36-07:00,45,13.17,13.23,15,0,2405,2067,2405,3003,49,P0,0x0000000000000000,0,0,0,0,0,1,1,72.4,63.1,67.9,62.5,72.4,47.1,59.8,2,5000,38.8,38.8,0,46.0,46.0,46.0,46.0,0.0,3900,2808,4401220,2063003,55017070,198002,309967472,23,0,0,70442172,55000696,5810824,56,33819232,0,271188,53490209734,1580871906,9.26,10.17,0.00,0.00,0.10,10712948,3979811,1219119440,478130674,0,4409502,4550614262
2026-03-28T18:00:37-07:00,45,13.28,12.88,20,0,2405,2067,2405,3003,49,P0,0x0000000000000000,0,0,0,0,0,1,1,72.9,63.6,67.9,62.6,73.0,47.6,60.5,2,5000,38.8,38.8,0,46.0,46.0,46.0,46.0,0.0,3900,2808,4403828,2063188,55017078,198003,309976939,23,0,0,73109272,52333596,6061840,84,35686520,0,271188,53490232187,1580897623,10.44,10.17,0.00,0.00,0.10,10714895,3979813,1219614360,478130746,0,4409504,4552601998
