config_hash,model_name,quantization,batch_size,sequence_length,sci_per_token,val_bpb,energy_per_token_j,tokens_per_sec,gpu_power_avg_w,gpu_util_avg_pct,gpu_clock_avg_mhz,mem_used_gb,mem_pressure_pct,latency_p50_ms,carbon_operational_g,carbon_embodied_g,nvme_temp_c,system_load_avg,pareto_rank,status,created_at
e8a958e6965a,Qwen/Qwen3.5-9B,none,32,256,,,,,,,,,,,,,,,,failed,2026-03-28T22:38:12.799192+00:00
a3b5b2b263ff,Qwen/Qwen3.5-4B,none,16,2048,,,,,,,,,,,,,,,,failed,2026-03-28T22:40:00.395485+00:00
baaf794789cd,Qwen/Qwen3.5-9B,none,2,256,,,,,,,,,,,,,,,,failed,2026-03-28T22:42:47.159848+00:00
e6c588978706,Qwen/Qwen3.5-9B,none,8,512,8.437205963275748e-05,1.4594144216708735,0.4893485366948174,47.0469932029229,23.914761904761903,78.0,2398.0,45.57,38.1,15.579751782217837,5.4372059632757486e-05,3e-05,52.85,41.22,0,completed,2026-03-28T22:43:09.841562+00:00
5364fdf9d362,Qwen/Qwen3.5-9B,none,4,1024,,,,,,,,,,,,,,,,failed,2026-03-28T22:45:48.174896+00:00
