timestamp,gpu_temp_c,gpu_power_w,gpu_power_instant_w,gpu_util_pct,gpu_mem_util_pct,gpu_clock_mhz,gpu_vid_clock_mhz,gpu_sm_clock_mhz,gpu_max_clock_mhz,gpu_tlimit_c,gpu_pstate,gpu_throttle_reasons,gpu_hw_thermal_throttle,gpu_hw_slowdown,gpu_sw_power_cap,gpu_idle,gpu_power_brake,pcie_gen,pcie_width,thermal_zone0_c,thermal_zone1_c,thermal_zone2_c,thermal_zone3_c,thermal_zone4_c,thermal_zone5_c,thermal_zone6_c,fan_state,fan_power_uw,nvme_temp_c,nvme_temp2_c,nvme_temp_alarm,nic0_temp_c,nic1_temp_c,nic2_temp_c,nic3_temp_c,wifi_temp_c,cpu_big_avg_mhz,cpu_little_avg_mhz,cpu_user,cpu_system,cpu_idle,cpu_iowait,context_switches,procs_running,procs_blocked,cpu_throttle_max,mem_used_kb,mem_available_kb,mem_cached_kb,mem_dirty_kb,mem_anon_kb,mem_file_hugepages_kb,swap_used_kb,net_rx_bytes,net_tx_bytes,load_avg_1m,psi_cpu_avg10,psi_mem_some_avg10,psi_mem_full_avg10,psi_io_some_avg10,nvme_read_ios,nvme_write_ios,nvme_read_sectors,nvme_write_sectors,nvme_io_in_progress,pgmajfault,pgfault
2026-03-28T16:28:55-07:00,45,4.59,4.78,1,0,208,598,208,3003,51,P8,0x0000000000000000,0,0,0,0,0,1,1,51.9,48.0,51.9,47.1,49.0,46.8,50.5,2,5000,48.8,48.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,4183818,1941779,44368325,191434,302959413,2,0,0,4223732,121219136,16069236,980,302708,0,257760,53446716081,1575765692,1.12,0.00,0.00,0.00,0.01,9412549,3536136,1095069872,426747690,0,3788837,4398455613
2026-03-28T16:28:56-07:00,45,4.83,5.43,0,0,208,598,208,3003,51,P8,0x0000000000000000,0,0,0,0,0,1,1,56.0,51.1,55.6,49.2,56.0,46.8,50.4,2,5000,48.8,47.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,4184646,1941951,44369940,191445,302965665,5,0,0,7163904,118278964,16069252,984,3192624,0,257760,53446742397,1575784427,1.83,0.00,0.00,0.00,0.01,9412549,3536136,1095069872,426747690,0,3788837,4399271624
2026-03-28T16:28:57-07:00,45,5.94,6.53,0,0,208,598,208,3003,51,P0,0x0000000000000000,0,0,0,0,0,1,1,63.7,52.6,62.4,51.6,63.7,46.8,54.3,2,5000,47.8,47.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,4185430,1942135,44371330,191477,302973022,12,0,0,8126736,117316132,16069240,12,4106748,0,257680,53446777865,1575811104,1.83,0.90,0.00,0.00,0.18,9412572,3536197,1095070056,426749418,0,3788857,4399662574
2026-03-28T16:28:58-07:00,45,6.17,5.77,0,0,1085,968,1085,3003,50,P0,0x0000000000000000,0,0,0,0,0,1,1,66.7,54.3,60.1,54.9,66.7,47.1,55.5,2,5000,47.8,47.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,4186467,1942320,44372596,191482,302980731,11,0,0,10877880,114564988,16076284,7684,6726824,0,257668,53446983114,1575891207,1.83,0.90,0.00,0.00,0.18,9412578,3536236,1095070112,426751906,0,3788859,4400665778
2026-03-28T16:29:00-07:00,46,10.95,13.37,1,0,1085,968,1085,3003,49,P0,0x0000000000000000,0,0,0,0,0,1,1,59.8,53.6,59.8,52.8,58.4,48.2,53.4,2,5000,47.8,47.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,4187232,1942667,44374776,191483,303137918,3,0,0,12997712,112445156,16441104,976,7573628,0,257636,53447241758,1575995414,1.83,0.92,0.00,0.00,0.15,9412979,3536258,1095171432,426753234,0,3788866,4401134667
2026-03-28T16:29:01-07:00,46,13.44,13.91,10,0,2405,2067,2405,3003,49,P0,0x0000000000000000,0,0,0,0,0,1,1,61.4,53.7,61.4,52.7,60.2,48.6,52.9,2,5000,47.8,46.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,4187936,1943034,44376419,191485,303150166,110,0,0,20130180,105312688,16708256,984,7895264,0,257632,53447247616,1576006007,2.57,0.75,0.00,0.00,0.12,9414240,3536258,1095494000,426753234,0,3788869,4401653978
2026-03-28T16:29:03-07:00,47,13.45,14.13,14,0,2405,2067,2405,3003,48,P0,0x0000000000000000,0,0,0,0,0,1,1,71.0,60.7,66.6,60.0,71.5,48.8,58.2,2,5000,46.8,46.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,4190528,1943430,44376453,191487,303163396,25,1,0,30057208,95385660,16980004,988,11777648,0,257616,53447268437,1576045058,2.57,3.87,0.00,0.00,0.10,9416465,3536258,1096063352,426753234,0,3788872,4403596962
2026-03-28T16:29:04-07:00,47,13.40,12.99,8,0,2405,2067,2405,3003,47,P0,0x0000000000000000,0,0,0,0,0,1,1,73.9,64.2,70.2,62.6,73.9,49.5,61.3,2,5000,47.8,46.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,4192855,1943739,44376497,191489,303174327,21,0,0,32629592,92813276,17274912,1028,14306856,0,257616,53447412248,1576109415,2.57,3.87,0.00,0.00,0.10,9418723,3536263,1096641400,426754098,0,3788872,4405283543
2026-03-28T16:29:06-07:00,48,13.53,14.26,8,0,2405,2067,2405,3003,47,P0,0x0000000000000000,0,0,0,0,0,1,1,74.4,64.5,71.3,62.4,74.4,50.0,62.3,2,5000,46.8,46.8,0,49.0,49.0,49.0,49.0,47.0,3900,2808,4195168,1944031,44376619,191491,303200976,20,0,0,35628744,89814124,17623928,1032,17090864,0,257612,53447618679,1576188678,4.36,4.08,0.00,0.00,0.08,9420830,3536268,1097180544,426754138,0,3788873,4406927928
2026-03-28T16:29:07-07:00,48,14.20,14.26,9,0,2405,2067,2405,3003,46,P0,0x0000000000000000,0,0,0,0,0,1,1,76.0,62.9,71.6,60.2,76.0,50.7,62.7,2,5000,47.8,46.8,0,50.0,50.0,50.0,50.0,47.0,3900,2808,4197744,1944565,44377639,191494,303301379,15,0,0,40320892,85121976,18153256,1032,18384232,0,257612,53447751601,1576264608,4.36,3.70,0.00,0.00,0.06,9423039,3536270,1097745792,426754154,0,3788873,4408301166
