config_hash,model_name,quantization,batch_size,sequence_length,sci_per_token,val_bpb,energy_per_token_j,tokens_per_sec,gpu_power_avg_w,gpu_util_avg_pct,gpu_clock_avg_mhz,mem_used_gb,mem_pressure_pct,latency_p50_ms,carbon_operational_g,carbon_embodied_g,nvme_temp_c,system_load_avg,pareto_rank,status,created_at
5b467f1c3d58,Qwen/Qwen3.5-0.8B,none,8,512,0.00010783782731014782,4.065588352168114,0.7005404457913303,30.42126503771922,22.18675,47.425,2292.775,61.73,51.6,13.942505687501344,7.783782731014782e-05,3e-05,40.85,5.63,0,completed,2026-03-29T01:10:58.231535+00:00
28f80f6299de,Qwen/Qwen3.5-0.8B,none,32,1024,0.00019328714281072223,4.065588352168114,1.4695842852965,14.610589255518223,22.19829268292683,48.24390243902439,2276.8048780487807,58.76,49.1,18.605595292183352,0.00016328714281072223,3e-05,40.85,5.63,1,completed,2026-03-29T01:10:58.895633+00:00
002978bd0ed1,Qwen/Qwen3.5-0.8B,none,8,1024,0.00026948415520696936,4.065588352168114,2.155357396862724,9.959772797682655,22.276829268292683,48.21951219512195,2298.048780487805,59.34,49.6,36.69935070426685,0.00023948415520696933,3e-05,40.85,5.63,2,completed,2026-03-29T01:10:59.203842+00:00
0f2986af0d5c,Qwen/Qwen3.5-9B,none,16,256,,,,,,,,,,,,,,,,failed,2026-03-29T01:12:34.231362+00:00
4aafafa146fe,Qwen/Qwen3.5-4B,none,4,128,,,,,,,,,,,,,,,,failed,2026-03-29T01:12:39.173101+00:00
10fe502712ae,Qwen/Qwen3.5-4B,none,1,512,,,,,,,,,,,,,,,,failed,2026-03-29T01:12:39.233366+00:00
597c4479e083,Qwen/Qwen3.5-4B,none,8,256,,,,,,,,,,,,,,,,failed,2026-03-29T01:12:39.346577+00:00
8bab32bf9532,Qwen/Qwen3.5-4B,none,2,256,,,,,,,,,,,,,,,,failed,2026-03-29T01:12:39.430504+00:00
e3410d1be066,Qwen/Qwen3.5-4B,none,2,512,,,,,,,,,,,,,,,,failed,2026-03-29T01:12:40.491249+00:00
01d0265acd1b,Qwen/Qwen3.5-4B,none,4,512,,,,,,,,,,,,,,,,failed,2026-03-29T01:13:04.308153+00:00
a345d6004f99,Qwen/Qwen3.5-4B,none,1,128,,,,,,,,,,,,,,,,failed,2026-03-29T01:13:04.679927+00:00
f339c3efc46a,Qwen/Qwen3.5-0.8B,none,16,256,0.00010405234676706634,4.065588352168114,0.6664711209035972,35.1290647763942,24.90075,45.175,2443.925,49.64,41.5,10.582218982420954,7.405234676706634e-05,3e-05,49.85,20.51,,discarded,2026-03-29T01:13:07.728099+00:00
10c7b22c416e,Qwen/Qwen3.5-0.8B,none,2,128,,,,,,,,,,,,,,,,discarded,2026-03-29T01:13:09.172661+00:00
7a00e7e603a0,Qwen/Qwen3.5-0.8B,none,2,2048,,,,,,,,,,,,,,,,discarded,2026-03-29T01:13:09.749507+00:00
b240f605bfde,Qwen/Qwen3.5-4B,none,4,128,,,,,,,,,,,,,,,,discarded,2026-03-29T01:13:09.775044+00:00
665673876aec,Qwen/Qwen3.5-0.8B,none,4,512,,,,,,,,,,,,,,,,discarded,2026-03-29T01:13:10.230500+00:00
933ae1c44ef5,Qwen/Qwen3.5-9B,none,8,512,,,,,,,,,,,,,,,,discarded,2026-03-29T01:13:10.808198+00:00
785098afb357,Qwen/Qwen3.5-0.8B,none,1,512,,,,,,,,,,,,,,,,discarded,2026-03-29T01:13:10.855479+00:00
f40345cba844,Qwen/Qwen3.5-9B,none,4,128,,,,,,,,,,,,,,,,discarded,2026-03-29T01:13:11.334526+00:00
2bb417605d06,Qwen/Qwen3.5-0.8B,none,16,2048,,,,,,,,,,,,,,,,discarded,2026-03-29T01:13:11.870106+00:00
