config_hash,model_name,quantization,batch_size,sequence_length,sci_per_token,val_bpb,energy_per_token_j,tokens_per_sec,gpu_power_avg_w,gpu_util_avg_pct,gpu_clock_avg_mhz,mem_used_gb,mem_pressure_pct,latency_p50_ms,carbon_operational_g,carbon_embodied_g,nvme_temp_c,system_load_avg,pareto_rank,status,created_at
902d2174eb1b,mistralai/Mistral-7B-v0.1,gptq-8bit,1,256,,,,,,,,,,,,,,,,failed,2026-03-28T18:35:27.353804+00:00
f9628aaac9aa,Qwen/Qwen3.5-0.8B,none,1,512,0.00040318457883368775,4.065588352168114,3.3586612095031896,1.7837943191971057,6.024579055441478,5.993839835728953,520.4476386036961,13.13,11.0,70.97375902344538,0.0003731845788336877,3e-05,40.85,1.64,1,completed,2026-03-28T19:10:18.039588+00:00
27ef367ea383,Qwen/Qwen3.5-4B,none,8,2048,0.0003259156920877933,1.5656525444110059,2.6632412287901395,5.050832396173597,13.448187579214196,8.979721166032952,2404.319391634981,29.5,24.7,18.873013238037473,0.00029591569208779327,3e-05,45.85,3.39,0,completed,2026-03-28T19:23:49.715856+00:00
7e7983e084d3,Qwen/Qwen3.5-4B,none,8,1024,0.0009334132078754982,1.5656525444110059,8.130718870879484,1.9918557227115004,16.132152152152152,18.27227227227227,2289.970970970971,20.39,17.0,80.18914660058662,0.0009034132078754982,3e-05,50.85,2.2,1,completed,2026-03-28T19:25:21.987801+00:00
