config_hash,model_name,quantization,batch_size,sequence_length,sci_per_token,val_bpb,energy_per_token_j,tokens_per_sec,gpu_power_avg_w,gpu_util_avg_pct,gpu_clock_avg_mhz,mem_used_gb,mem_pressure_pct,latency_p50_ms,carbon_operational_g,carbon_embodied_g,nvme_temp_c,system_load_avg,pareto_rank,status,created_at
5a06f858e600,Qwen/Qwen3.5-4B,none,8,512,,,,,,,,,,,,,,,,failed,2026-03-28T22:50:39.088138+00:00
54a570924ca0,Qwen/Qwen3.5-0.8B,none,2,2048,0.00019946835393542107,4.065588352168114,1.5252151854187896,11.87683631747331,18.59972972972973,44.351351351351354,2398.0,100.19,83.7,40.57111411074457,0.00016946835393542108,3e-05,51.85,8.67,0,completed,2026-03-28T22:51:18.032129+00:00
a0d66ed27ae0,Qwen/Qwen3.5-9B,none,4,512,,,,,,,,,,,,,,,,failed,2026-03-28T22:54:09.104769+00:00
a5bf89f3d556,Qwen/Qwen3.5-9B,none,32,1024,0.00030517290209161336,1.4594144216708735,2.47655611882452,10.805491866263191,27.57227272727273,87.9090909090909,2398.318181818182,47.91,40.0,34.938686441407185,0.00027517290209161334,3e-05,49.85,40.56,,discarded,2026-03-28T22:54:32.819875+00:00
25da352e3e91,Qwen/Qwen3.5-9B,none,1,256,,,,,,,,,,,,,,,,failed,2026-03-28T22:57:48.003699+00:00
5c35fba0bc6b,Qwen/Qwen3.5-9B,none,8,256,0.00033156938747101364,1.4594144216708735,2.7141244872391224,8.403310600292484,23.503333333333334,80.61111111111111,2398.777777777778,114.37,95.6,57.18743313500454,0.0003015693874710136,3e-05,54.85,21.07,0,completed,2026-03-28T22:58:11.931569+00:00
ebbad0122b2f,Qwen/Qwen3.5-4B,none,8,256,,,,,,,,,,,,,,,,failed,2026-03-28T23:00:05.398519+00:00
