timestamp,gpu_temp_c,gpu_power_w,gpu_util_pct,gpu_clock_mhz,gpu_vid_clock_mhz,thermal_zone0_c,thermal_zone1_c,thermal_zone2_c,thermal_zone3_c,thermal_zone4_c,thermal_zone5_c,thermal_zone6_c,fan_rpm,fan_power_uw,nvme_temp_c,nic0_temp_c,nic1_temp_c,nic2_temp_c,nic3_temp_c,wifi_temp_c,cpu_big_avg_mhz,cpu_little_avg_mhz,mem_used_kb,mem_available_kb,load_avg_1m
2026-03-28T12:01:54-07:00,41,4.30,0,208,598,46.3,44.5,46.3,43.7,44.3,42.9,44.1,2,5000,40.8,45.0,45.0,45.0,45.0,43.0,3900,2808,8546168,116896700,0.71
2026-03-28T12:01:55-07:00,41,4.40,0,208,598,47.8,44.8,48.2,44.1,47.6,43.1,44.5,2,5000,40.8,45.0,45.0,45.0,45.0,43.0,3900,2808,8762348,116680520,0.71
2026-03-28T12:01:56-07:00,41,4.38,0,208,598,48.7,44.6,48.7,44.0,44.9,43.4,44.4,2,5000,40.8,46.0,46.0,46.0,46.0,43.0,3900,2808,8823508,116619360,0.71
2026-03-28T12:01:58-07:00,41,4.38,0,208,598,45.1,44.3,45.1,43.5,44.0,43.0,44.0,2,5000,40.8,45.0,45.0,46.0,46.0,43.0,3900,2808,8846240,116596628,0.74
2026-03-28T12:01:59-07:00,41,4.12,0,208,598,44.7,44.2,44.3,43.4,43.9,43.2,44.7,2,5000,40.8,45.0,45.0,45.0,45.0,43.0,3900,2808,8862372,116580496,0.74
2026-03-28T12:02:00-07:00,41,4.16,0,208,598,43.9,43.9,43.8,43.1,43.9,43.2,43.8,2,5000,39.8,45.0,45.0,45.0,45.0,43.0,3900,2808,8871832,116571036,0.74
2026-03-28T12:02:01-07:00,41,4.26,0,208,598,45.1,44.0,45.1,43.3,44.0,43.6,43.9,2,5000,40.8,45.0,45.0,45.0,45.0,43.0,3900,2808,8850548,116592320,0.74
2026-03-28T12:02:02-07:00,41,4.18,0,221,611,44.1,44.1,43.9,43.1,43.8,43.5,43.9,2,5000,40.8,45.0,45.0,45.0,45.0,43.0,3900,2808,8876708,116566160,0.74
2026-03-28T12:02:03-07:00,41,4.23,0,208,598,46.5,44.3,43.8,43.5,46.5,43.0,43.8,2,5000,40.8,45.0,45.0,45.0,45.0,43.0,3900,2808,9112992,116329876,0.84
2026-03-28T12:02:05-07:00,41,4.33,0,208,598,46.3,44.3,43.8,43.9,46.3,42.8,43.9,2,5000,40.8,45.0,45.0,45.0,45.0,43.0,3900,2808,9169044,116273824,0.84
2026-03-28T12:02:06-07:00,41,4.27,0,208,598,44.1,44.1,43.8,43.6,44.0,42.8,43.8,2,5000,40.8,45.0,45.0,45.0,45.0,43.0,3900,2808,9203072,116239796,0.84
2026-03-28T12:02:07-07:00,41,4.21,0,208,598,44.1,44.1,43.8,43.5,43.9,42.8,44.1,2,5000,40.8,45.0,45.0,45.0,45.0,42.0,3900,2808,9180536,116262332,0.84
2026-03-28T12:02:08-07:00,41,4.22,0,208,598,44.1,44.1,43.8,43.3,43.8,42.8,43.8,2,5000,40.8,45.0,45.0,45.0,45.0,43.0,3900,2808,9192300,116250568,0.77
2026-03-28T12:02:09-07:00,41,4.13,0,208,598,43.9,43.9,43.8,43.1,43.8,43.0,43.8,2,5000,40.8,45.0,45.0,45.0,45.0,43.0,3900,2808,9170776,116272092,0.77
