config_hash,model_name,quantization,batch_size,sequence_length,sci_per_token,val_bpb,energy_per_token_j,tokens_per_sec,gpu_power_avg_w,gpu_util_avg_pct,gpu_clock_avg_mhz,mem_used_gb,mem_pressure_pct,latency_p50_ms,carbon_operational_g,carbon_embodied_g,nvme_temp_c,system_load_avg,pareto_rank,status,created_at
99a325131cea,Qwen/Qwen3.5-0.8B,none,1,512,0.0012076459243627099,4.065588352168114,10.598813319264389,1.4925083535905275,16.285744680851064,46.340425531914896,2272.553191489362,95.61,79.9,208.34390072415206,0.0011776459243627098,3e-05,40.85,17.02,2,completed,2026-03-29T01:01:06.618271+00:00
cf3046f9dc36,Qwen/Qwen3.5-0.8B,none,8,1024,0.0006647526906509149,4.065588352168114,5.712774215858235,2.770829885736672,16.381702127659572,46.319148936170215,2300.7659574468084,95.63,79.9,69.97451065131156,0.000634752690650915,3e-05,40.85,17.02,0,completed,2026-03-29T01:01:06.692176+00:00
de6982cab2ab,Qwen/Qwen3.5-0.8B,none,1,512,0.0035308676268373217,4.065588352168114,31.507808641535895,0.5016596236778978,16.28375,46.625,2275.3125,96.0,80.2,493.7098935600079,0.0035008676268373216,3e-05,40.85,17.1,3,completed,2026-03-29T01:01:07.344347+00:00
6cd0010b2830,Qwen/Qwen3.5-0.8B,none,1,2048,0.0011995611203552553,4.065588352168114,10.526050083197296,1.4980734774879492,16.200625,45.375,2275.3125,91.98,76.9,208.15065212069572,0.0011695611203552552,3e-05,40.85,17.1,1,completed,2026-03-29T01:01:07.547901+00:00
68fd8dd51cee,Qwen/Qwen3.5-4B,none,16,2048,,,,,,,,,,,,,,,,failed,2026-03-29T01:04:05.600947+00:00
4bc2137104a6,Qwen/Qwen3.5-4B,none,1,512,,,,,,,,,,,,,,,,failed,2026-03-29T01:04:06.368143+00:00
3fb8ca2a4410,Qwen/Qwen3.5-4B,none,1,1024,,,,,,,,,,,,,,,,failed,2026-03-29T01:04:06.382452+00:00
2ced481b653c,Qwen/Qwen3.5-4B,none,4,512,,,,,,,,,,,,,,,,failed,2026-03-29T01:04:06.483565+00:00
f71adef1b345,Qwen/Qwen3.5-4B,none,32,1024,,,,,,,,,,,,,,,,failed,2026-03-29T01:04:06.708465+00:00
