config_hash,model_name,quantization,batch_size,sequence_length,sci_per_token,val_bpb,energy_per_token_j,tokens_per_sec,gpu_power_avg_w,gpu_util_avg_pct,gpu_clock_avg_mhz,mem_used_gb,mem_pressure_pct,latency_p50_ms,carbon_operational_g,carbon_embodied_g,nvme_temp_c,system_load_avg,pareto_rank,status,created_at
745ad2b3bc6e,Qwen/Qwen3.5-4B,none,4,256,,,,,,,,,,,,,,,,failed,2026-03-28T22:35:04.157919+00:00
21c1627be7d3,Qwen/Qwen3.5-0.8B,none,8,1024,4.60750792608182e-05,4.065588352168114,0.1446757133473638,143.2563931062669,21.40657142857143,70.0,2398.0,55.0,46.0,3.190082724120913,1.60750792608182e-05,3e-05,46.85,7.67,0,completed,2026-03-28T22:35:41.235516+00:00
0363f4523d6f,Qwen/Qwen3.5-0.8B,none,2,2048,0.0002499931104967737,4.065588352168114,1.979937994470963,11.314484992777894,23.46318181818182,83.45454545454545,2398.0,76.01,63.5,76.19677760761343,0.00021999311049677366,3e-05,47.85,8.58,,discarded,2026-03-28T22:36:04.334784+00:00
32cca8a1c252,Qwen/Qwen3.5-4B,none,8,512,,,,,,,,,,,,,,,,failed,2026-03-28T22:38:10.455753+00:00
a1508ca048f8,Qwen/Qwen3.5-9B,none,1,256,,,,,,,,,,,,,,,,failed,2026-03-28T22:41:07.157841+00:00
2300c6a570fc,Qwen/Qwen3.5-4B,none,4,1024,,,,,,,,,,,,,,,,failed,2026-03-28T22:43:38.559940+00:00
b83707855829,Qwen/Qwen3.5-4B,none,16,128,0.00016067608453206018,1.5656525444110059,1.1760847607885416,26.869975183179665,32.88863636363636,90.9090909090909,2410.4545454545455,52.09,43.5,22.761766248102116,0.00013067608453206018,3e-05,51.85,21.71,0,completed,2026-03-28T22:44:01.832565+00:00
