config_hash,model_name,quantization,batch_size,sequence_length,sci_per_token,val_bpb,energy_per_token_j,tokens_per_sec,gpu_power_avg_w,gpu_util_avg_pct,gpu_clock_avg_mhz,mem_used_gb,mem_pressure_pct,latency_p50_ms,carbon_operational_g,carbon_embodied_g,nvme_temp_c,system_load_avg,pareto_rank,status,created_at
961bbdb12f94,Qwen/Qwen3.5-9B,none,1,2048,,,,,,,,,,,,,,,,failed,2026-03-28T22:38:27.044930+00:00
7041b56288cd,Qwen/Qwen3.5-0.8B,none,32,1024,4.217563913405599e-05,4.065588352168114,0.10958075220650393,196.47053124953882,22.560238095238095,76.33333333333333,2398.0,49.75,41.6,1.995862242063561,1.2175639134055994e-05,3e-05,49.85,40.02,0,completed,2026-03-28T22:39:13.045176+00:00
7cf503331135,Qwen/Qwen3.5-0.8B,none,16,2048,4.52505054223895e-05,4.065588352168114,0.13725454880150556,166.91117144797738,23.62128205128205,72.35897435897436,2400.0,81.42,68.1,3.400375429864694,1.5250505422389506e-05,3e-05,49.85,25.39,,discarded,2026-03-28T22:39:54.986350+00:00
78ad8395b523,Qwen/Qwen3.5-9B,none,8,2048,,,,,,,,,,,,,,,,failed,2026-03-28T22:42:47.262207+00:00
12bc448c25fc,Qwen/Qwen3.5-9B,none,32,512,,,,,,,,,,,,,,,,failed,2026-03-28T22:45:45.950169+00:00
e63773d4c12b,Qwen/Qwen3.5-9B,none,32,128,,,,,,,,,,,,,,,,failed,2026-03-28T22:48:02.591176+00:00
