timestamp,gpu_temp_c,gpu_power_w,gpu_power_instant_w,gpu_util_pct,gpu_mem_util_pct,gpu_clock_mhz,gpu_vid_clock_mhz,gpu_sm_clock_mhz,gpu_max_clock_mhz,gpu_tlimit_c,gpu_pstate,gpu_throttle_reasons,gpu_hw_thermal_throttle,gpu_hw_slowdown,gpu_sw_power_cap,gpu_idle,gpu_power_brake,pcie_gen,pcie_width,thermal_zone0_c,thermal_zone1_c,thermal_zone2_c,thermal_zone3_c,thermal_zone4_c,thermal_zone5_c,thermal_zone6_c,fan_state,fan_power_uw,nvme_temp_c,nvme_temp2_c,nvme_temp_alarm,nic0_temp_c,nic1_temp_c,nic2_temp_c,nic3_temp_c,wifi_temp_c,cpu_big_avg_mhz,cpu_little_avg_mhz,cpu_user,cpu_system,cpu_idle,cpu_iowait,context_switches,procs_running,procs_blocked,cpu_throttle_max,mem_used_kb,mem_available_kb,mem_cached_kb,mem_dirty_kb,mem_anon_kb,mem_file_hugepages_kb,swap_used_kb,net_rx_bytes,net_tx_bytes,load_avg_1m,psi_cpu_avg10,psi_mem_some_avg10,psi_mem_full_avg10,psi_io_some_avg10,nvme_read_ios,nvme_write_ios,nvme_read_sectors,nvme_write_sectors,nvme_io_in_progress,pgmajfault,pgfault
2026-03-28T15:49:15-07:00,53,13.60,13.70,6,0,2398,2067,2398,3003,42,P0,0x0000000000000000,0,0,0,0,0,1,1,72.1,60.7,72.2,60.6,70.8,55.8,62.9,2,5000,47.8,47.8,0,55.0,55.0,55.0,55.0,54.0,3900,2808,3017859,1270529,41513132,155741,261830413,8,0,0,17160616,108282252,26140664,1736,4603904,0,2237304,53384943680,1496638822,3.13,0.25,0.00,0.00,0.20,3866345,1444935,515776696,233106130,0,1501796,3202545341
2026-03-28T15:49:16-07:00,53,13.66,13.31,3,0,2398,2067,2398,3003,42,P0,0x0000000000000000,0,0,0,0,0,1,1,72.2,61.5,72.2,61.1,71.7,55.8,63.0,2,5000,47.8,47.8,0,55.0,55.0,55.0,55.0,54.0,3900,2808,3018577,1270712,41514610,155748,261846513,29,0,0,17827048,107615820,26142084,1856,5298104,0,2237304,53384979142,1496687540,3.13,0.38,0.00,0.00,0.16,3866355,1445024,515779256,233110762,0,1501801,3203415368
2026-03-28T15:49:18-07:00,54,13.82,14.47,6,0,2398,2067,2398,3003,42,P0,0x0000000000000000,0,0,0,0,0,1,1,76.8,62.4,72.5,61.7,76.8,55.8,64.2,2,5000,47.8,47.8,0,55.0,55.0,55.0,55.0,54.0,3900,2808,3019507,1270956,41515960,155772,261867766,12,0,0,19034580,106408288,26143296,1772,6512308,0,2237140,53385073768,1496765394,3.13,0.68,0.00,0.00,0.13,3866456,1445040,515782584,233112402,0,1501882,3204568770
2026-03-28T15:49:19-07:00,54,14.06,13.57,6,0,2398,2067,2398,3003,41,P0,0x0000000000000000,0,0,0,0,0,1,1,80.2,62.9,73.1,62.2,80.2,55.8,62.9,2,5000,47.8,47.8,0,55.0,55.0,55.0,55.0,54.0,3900,2808,3020434,1271219,41517432,155802,261903847,11,0,0,20726316,104716552,26187544,1776,7400964,0,2237140,53385183795,1496876537,3.13,0.68,0.00,0.00,0.13,3866466,1445119,515785144,233116330,0,1501887,3205595499
2026-03-28T15:49:20-07:00,54,13.94,14.04,7,0,2398,2067,2398,3003,41,P0,0x0000000000000000,0,0,0,0,0,1,1,75.2,63.3,73.0,62.8,75.2,56.0,64.3,2,5000,47.8,47.8,0,55.0,55.0,55.0,55.0,54.0,3900,2808,3021345,1271466,41518715,155820,261925080,11,0,0,21886152,103556716,26189044,1768,8332560,0,2235064,53385260551,1496956550,3.60,0.92,0.00,0.00,0.11,3866479,1445160,515787736,233117706,0,1501975,3206717271
2026-03-28T15:49:22-07:00,54,14.13,13.79,7,0,2398,2067,2398,3003,41,P0,0x0000000000000000,0,0,0,0,0,1,1,77.4,62.8,74.9,62.6,77.4,56.5,63.9,2,5000,47.8,47.8,0,55.0,55.0,55.0,55.0,54.0,3900,2808,3022132,1271702,41520072,155842,261961332,10,0,0,24045868,101397000,26233360,1772,9052344,0,2235056,53385323778,1497023850,3.60,0.92,0.00,0.00,0.11,3866493,1445160,515789832,233117706,0,1501984,3207630887
2026-03-28T15:49:23-07:00,54,13.88,13.87,7,0,2398,2067,2398,3003,41,P0,0x0000000000000000,0,0,0,0,0,1,1,80.2,63.0,73.7,62.8,80.2,56.7,64.7,2,5000,47.8,47.8,0,55.0,55.0,55.0,55.0,54.0,3900,2808,3023006,1271922,41521442,155885,261979090,11,0,0,25106944,100335924,26233620,1772,10032004,0,2235056,53385357669,1497075825,3.60,0.75,0.00,0.00,0.09,3866495,1445161,515790344,233117714,0,1501986,3208756770
2026-03-28T15:49:24-07:00,54,14.20,14.25,7,0,2398,2067,2398,3003,41,P0,0x0000000000000000,0,0,0,0,0,1,1,81.0,63.0,73.8,62.6,81.0,56.7,63.8,2,5000,47.8,47.8,0,55.0,55.0,55.0,55.0,54.0,3900,2808,3023877,1272162,41522845,155914,262014007,10,0,0,27214024,98228844,26277332,116,10702336,0,2235056,53385406413,1497130595,3.60,0.61,0.00,0.00,0.25,3866502,1445231,515791888,233119042,0,1501989,3209735418
2026-03-28T15:49:25-07:00,54,13.92,14.10,7,0,2398,2067,2398,3003,41,P0,0x0000000000000000,0,0,0,0,0,1,1,81.5,63.3,73.7,62.8,81.5,56.7,66.5,2,5000,47.8,47.8,0,55.0,55.0,55.0,55.0,52.0,3900,2808,3024768,1272382,41524202,155935,262029591,12,0,0,28122632,97320236,26322200,120,11482760,0,2235052,53385413564,1497163708,4.19,0.61,0.00,0.00,0.25,3866877,1445231,515887248,233119042,0,1501992,3210799296
2026-03-28T15:49:27-07:00,54,13.98,15.03,7,0,2398,2067,2398,3003,41,P0,0x0000000000000000,0,0,0,0,0,1,1,81.5,63.3,73.7,62.9,81.5,56.7,67.4,2,5000,47.8,47.8,0,56.0,56.0,56.0,56.0,54.0,3900,2808,3025734,1272617,41525671,155956,262046678,10,0,0,29398476,96044392,26386112,208,12356044,0,2235044,53385421203,1497209195,4.19,0.50,0.00,0.00,0.20,3867358,1445233,516009432,233119218,0,1501999,3211968115
