config_hash,model_name,quantization,batch_size,sequence_length,sci_per_token,val_bpb,energy_per_token_j,tokens_per_sec,gpu_power_avg_w,gpu_util_avg_pct,gpu_clock_avg_mhz,mem_used_gb,mem_pressure_pct,latency_p50_ms,carbon_operational_g,carbon_embodied_g,nvme_temp_c,system_load_avg,pareto_rank,status,created_at
cbb09cc293df,Qwen/Qwen3.5-0.8B,none,1,2048,0.0003066087871265018,4.065588352168114,2.4894790841385164,6.6455210939012535,16.957435897435897,39.256410256410255,2398.0,57.01,47.7,74.98912947656322,0.0002766087871265018,3e-05,48.85,7.92,2,completed,2026-03-28T22:49:57.053886+00:00
de43f2afb4a3,Qwen/Qwen3.5-9B,none,1,2048,,,,,,,,,,,,,,,,failed,2026-03-28T22:53:55.026665+00:00
df01fd8b35a7,Qwen/Qwen3.5-4B,none,1,2048,,,,,,,,,,,,,,,,failed,2026-03-28T22:55:40.816468+00:00
d16a264b04a9,Qwen/Qwen3.5-0.8B,none,4,128,0.00017783848994490744,4.065588352168114,1.330546409504167,14.790739687913765,20.265675675675677,49.91891891891892,2398.0,82.19,68.7,28.29711698130812,0.00014783848994490744,3e-05,48.85,16.37,1,completed,2026-03-28T22:56:20.091361+00:00
3e9dbc203c66,Qwen/Qwen3.5-0.8B,none,16,256,3.934413488343569e-05,4.065588352168114,0.0840972139509212,289.497711580778,25.477142857142855,87.0,2398.0,96.53,80.7,2.248047230956729,9.34413488343569e-06,3e-05,49.85,14.29,0,completed,2026-03-28T22:56:42.681412+00:00
ff0cfad802c4,Qwen/Qwen3.5-9B,none,8,1024,,,,,,,,,,,,,,,,failed,2026-03-28T22:58:23.244803+00:00
bba1873652fc,Qwen/Qwen3.5-9B,none,4,512,0.00019164438996152508,1.4594144216708735,1.4547995096537258,16.42861999164007,24.825,88.22727272727273,2398.0,48.93,40.9,42.22986109721205,0.00016164438996152508,3e-05,53.85,16.76,0,completed,2026-03-28T22:58:46.913014+00:00
652a5611e8f5,Qwen/Qwen3.5-4B,none,2,512,,,,,,,,,,,,,,,,failed,2026-03-28T23:00:25.321730+00:00
