timestamp,gpu_temp_c,gpu_power_w,gpu_power_instant_w,gpu_util_pct,gpu_mem_util_pct,gpu_clock_mhz,gpu_vid_clock_mhz,gpu_sm_clock_mhz,gpu_max_clock_mhz,gpu_tlimit_c,gpu_pstate,gpu_throttle_reasons,gpu_hw_thermal_throttle,gpu_hw_slowdown,gpu_sw_power_cap,gpu_idle,gpu_power_brake,pcie_gen,pcie_width,thermal_zone0_c,thermal_zone1_c,thermal_zone2_c,thermal_zone3_c,thermal_zone4_c,thermal_zone5_c,thermal_zone6_c,fan_state,fan_power_uw,nvme_temp_c,nvme_temp2_c,nvme_temp_alarm,nic0_temp_c,nic1_temp_c,nic2_temp_c,nic3_temp_c,wifi_temp_c,cpu_big_avg_mhz,cpu_little_avg_mhz,cpu_user,cpu_system,cpu_idle,cpu_iowait,context_switches,procs_running,procs_blocked,cpu_throttle_max,mem_used_kb,mem_available_kb,mem_cached_kb,mem_dirty_kb,mem_anon_kb,mem_file_hugepages_kb,swap_used_kb,net_rx_bytes,net_tx_bytes,load_avg_1m,psi_cpu_avg10,psi_mem_some_avg10,psi_mem_full_avg10,psi_io_some_avg10,nvme_read_ios,nvme_write_ios,nvme_read_sectors,nvme_write_sectors,nvme_io_in_progress,pgmajfault,pgfault
2026-03-28T16:17:41-07:00,47,6.11,6.80,0,0,214,598,214,3003,48,P0,0x0000000000000000,0,0,0,0,0,1,1,65.7,56.1,62.7,54.5,65.7,48.8,55.5,2,5000,45.8,45.8,0,51.0,51.0,51.0,51.0,49.0,3900,2808,3760799,1792621,43606944,183505,292791928,6,8,0,8737724,116705144,28909304,1632,4614824,18432,114300,53429977352,1560194943,2.35,1.81,0.00,0.00,0.66,7321677,2404062,913792592,337216266,0,2808635,4060888894
2026-03-28T16:17:42-07:00,47,6.78,6.87,0,0,1105,1118,1105,3003,47,P0,0x0000000000000000,0,0,0,0,0,1,1,71.1,59.5,67.0,58.5,71.1,48.8,59.0,2,5000,45.8,45.8,0,50.0,50.0,50.0,50.0,49.0,3900,2808,3762532,1792977,43607438,183581,292840700,20,1,0,13170520,112272348,28974044,880,8939004,18432,114300,53430193568,1560298610,2.35,1.81,0.00,0.00,0.66,7322915,2404221,913910480,337220834,0,2809151,4062406214
2026-03-28T16:17:43-07:00,47,6.26,6.13,0,0,890,728,890,3003,47,P0,0x0000000000000000,0,0,0,0,0,1,1,73.4,62.7,68.2,62.0,73.4,49.5,61.5,2,5000,45.8,46.8,0,50.0,50.0,50.0,50.0,49.0,3900,2808,3764874,1793356,43607475,183587,292865682,23,0,0,16293256,109149612,28975192,876,11540472,18432,114108,53430356256,1560379223,2.35,4.74,0.00,0.00,1.44,7323005,2404223,913914488,337220850,0,2809153,4063517570
2026-03-28T16:17:45-07:00,48,13.55,13.71,0,0,890,728,890,3003,46,P0,0x0000000000000000,0,0,0,0,0,1,1,71.5,62.2,68.1,61.4,71.5,50.8,61.6,2,5000,46.8,46.8,0,51.0,51.0,51.0,51.0,49.0,3900,2808,3767876,1794228,43608547,183597,293149290,4,0,0,25761032,99681836,29371276,888,17986564,18432,114100,53430992745,1560678059,5.85,7.14,0.00,0.00,1.18,7323088,2404233,913933992,337220930,0,2809233,4065720171
2026-03-28T16:17:47-07:00,49,13.88,14.29,1,0,2405,2067,2405,3003,46,P0,0x0000000000000000,0,0,0,0,0,1,1,71.2,61.2,67.4,60.1,71.2,51.7,60.4,2,5000,45.8,46.8,0,51.0,51.0,51.0,51.0,49.0,3900,2808,3770064,1795083,43611081,183632,293223168,25,0,0,36412660,89030208,29723808,1044,19111640,18432,114088,53431142616,1560817963,5.85,6.01,0.00,0.00,0.97,7323097,2404239,913934568,337221842,0,2809234,4067274471
2026-03-28T16:17:50-07:00,50,14.38,13.97,4,0,2405,2067,2405,3003,45,P0,0x0000000000000000,0,0,0,0,0,1,1,76.0,65.2,73.1,65.3,76.0,52.3,64.2,2,5000,46.8,46.8,0,51.0,51.0,51.0,51.0,49.0,3900,2808,3773675,1795731,43611339,183634,293259782,21,0,0,50089276,75353592,29829504,1048,22733344,18432,114084,53431468415,1560971448,9.54,5.82,0.00,0.00,0.79,7323098,2404243,913934576,337221874,0,2809236,4069376507
2026-03-28T16:17:52-07:00,51,14.39,14.64,12,0,2405,2067,2405,3003,44,P0,0x0000000000000000,0,0,0,0,0,1,1,79.1,68.7,74.1,67.6,79.1,52.8,66.0,2,5000,46.8,46.8,0,52.0,52.0,52.0,52.0,49.0,3900,2808,3779047,1796311,43611430,183635,293296257,23,0,0,56416020,69026848,30142416,1044,25508532,18432,114068,53431608130,1561084366,9.54,7.12,0.00,0.00,0.65,7323099,2404248,913934584,337222082,0,2809237,4072252213
2026-03-28T16:17:55-07:00,51,14.53,14.80,36,0,2405,2067,2405,3003,43,P0,0x0000000000000000,0,0,0,0,0,1,1,80.4,69.5,75.2,68.8,80.4,53.7,67.4,2,5000,45.8,46.8,0,52.0,52.0,52.0,52.0,50.0,3900,2808,3785232,1796909,43611530,183637,293318929,28,0,0,62820392,62622476,30226600,1020,28445776,18432,114068,53431658513,1561172835,13.02,7.95,0.00,0.00,0.43,7323123,2404255,913935456,337222842,0,2809247,4075470422
2026-03-28T16:17:59-07:00,52,13.92,14.39,20,0,2405,2067,2405,3003,42,P0,0x0000000000000000,0,0,0,0,0,1,1,81.5,71.4,76.6,69.6,81.5,54.6,67.7,2,5000,45.8,45.8,0,53.0,53.0,53.0,53.0,49.0,3900,2808,3792663,1797447,43611538,183637,293354924,29,0,0,76651748,48791120,30248196,404,32898316,18432,114060,53431728239,1561271980,16.55,15.08,0.00,0.00,0.29,7323608,2404315,913956864,337223786,0,2809294,4080535161
2026-03-28T16:18:03-07:00,52,14.05,14.49,18,0,2405,2067,2405,3003,42,P0,0x0000000000000000,0,0,0,0,0,1,1,81.4,71.6,77.1,70.3,81.4,54.7,68.3,2,5000,45.8,45.8,0,53.0,53.0,53.0,53.0,49.0,3900,2808,3796436,1797769,43611541,183637,293375478,32,0,0,82071112,43371756,30248264,468,35465256,18432,114056,53431759855,1561318257,16.55,19.42,0.00,0.00,0.24,7323608,2404317,913956864,337223922,0,2809295,4083283246
2026-03-28T16:18:05-07:00,53,14.06,14.27,16,0,2405,2067,2405,3003,42,P0,0x0000000000000000,0,0,0,0,0,1,1,82.4,71.7,76.6,70.3,82.4,55.3,68.7,2,5000,45.8,45.8,0,53.0,53.0,53.0,53.0,50.0,3900,2808,3799667,1798064,43611547,183637,293395718,34,0,0,84829044,40613824,30248264,468,37483808,18432,114056,53431815156,1561370950,17.78,23.69,0.00,0.00,0.19,7323608,2404317,913956864,337223922,0,2809295,4085704326
